Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,6,0.591420,6(0.591420) 3(0.282990) 5(0.077055) 7(0.042058) 12(0.002172) 2(0.002080) 13(0.000838) 0(0.000417) 4(0.000201) 10(0.000188) 11(0.000162) 1(0.000161) 9(0.000149) 8(0.000110)
56496643,8,0.476948,8(0.476948) 9(0.240651) 12(0.174322) 1(0.084411) 2(0.021197) 7(0.000642) 4(0.000548) 11(0.000395) 6(0.000342) 0(0.000186) 5(0.000107) 3(0.000089) 10(0.000087) 13(0.000075)
56505189,2,0.517173,2(0.517173) 6(0.288730) 7(0.121913) 12(0.071046) 4(0.000250) 13(0.000188) 11(0.000157) 0(0.000128) 9(0.000093) 3(0.000093) 5(0.000065) 10(0.000064) 8(0.000051) 1(0.000049)
56505224,11,0.556091,11(0.556091) 6(0.285644) 2(0.080783) 9(0.072414) 7(0.003179) 5(0.000474) 12(0.000432) 4(0.000261) 13(0.000243) 0(0.000171) 3(0.000165) 10(0.000106) 1(0.000019) 8(0.000018)
56522258,6,0.660942,6(0.660942) 7(0.249365) 2(0.084886) 13(0.001308) 5(0.000639) 11(0.000605) 9(0.000527) 4(0.000465) 12(0.000456) 0(0.000220) 3(0.000196) 10(0.000186) 8(0.000128) 1(0.000077)
56522391,11,0.659975,11(0.659975) 6(0.204506) 9(0.103326) 2(0.030840) 12(0.000235) 5(0.000217) 13(0.000187) 7(0.000177) 3(0.000161) 0(0.000161) 4(0.000132) 10(0.000037) 8(0.000028) 1(0.000018)
56529189,5,0.245232,5(0.245232) 2(0.236357) 10(0.217984) 6(0.149896) 9(0.148332) 8(0.000856) 13(0.000333) 4(0.000312) 3(0.000187) 1(0.000148) 7(0.000145) 11(0.000097) 12(0.000075) 0(0.000046)
56548040,6,0.505603,6(0.505603) 5(0.214544) 7(0.149688) 13(0.073231) 10(0.036398) 3(0.013990) 2(0.003107) 9(0.001809) 1(0.000645) 8(0.000264) 4(0.000252) 12(0.000211) 0(0.000144) 11(0.000115)
56548508,7,0.580688,7(0.580688) 4(0.213866) 2(0.106846) 13(0.081436) 0(0.012622) 5(0.001585) 9(0.000987) 6(0.000682) 3(0.000449) 10(0.000317) 12(0.000276) 11(0.000175) 1(0.000060) 8(0.000011)
56551108,11,0.858367,11(0.858367) 12(0.062240) 2(0.053795) 9(0.014802) 13(0.003565) 10(0.003201) 8(0.001185) 4(0.000598) 7(0.000547) 1(0.000474) 6(0.000351) 5(0.000334) 3(0.000317) 0(0.000224)
56551131,9,0.440149,9(0.440149) 0(0.286874) 10(0.114827) 7(0.095457) 6(0.050580) 2(0.005009) 5(0.002945) 12(0.001557) 1(0.000837) 8(0.000655) 4(0.000473) 11(0.000262) 13(0.000225) 3(0.000151)
56551175,11,0.735132,11(0.735132) 9(0.128962) 6(0.124359) 2(0.009600) 13(0.000404) 0(0.000363) 12(0.000248) 5(0.000240) 7(0.000220) 3(0.000189) 4(0.000133) 10(0.000068) 1(0.000053) 8(0.000029)
56551323,0,0.537375,0(0.537375) 9(0.336612) 13(0.070435) 2(0.052689) 11(0.000744) 3(0.000551) 7(0.000306) 4(0.000281) 5(0.000238) 8(0.000226) 12(0.000202) 6(0.000181) 1(0.000088) 10(0.000073)
56552993,6,0.534014,6(0.534014) 1(0.389192) 9(0.070808) 7(0.002734) 4(0.001712) 10(0.000423) 12(0.000307) 8(0.000303) 5(0.000182) 13(0.000122) 3(0.000073) 11(0.000054) 0(0.000040) 2(0.000037)
56570134,2,0.323862,2(0.323862) 3(0.237708) 11(0.140035) 12(0.115529) 8(0.083622) 4(0.069740) 0(0.026622) 9(0.001084) 10(0.000518) 13(0.000416) 1(0.000320) 6(0.000245) 5(0.000159) 7(0.000140)
56571316,6,0.423892,6(0.423892) 13(0.272779) 4(0.150324) 8(0.074133) 9(0.045310) 0(0.027360) 2(0.003225) 3(0.001362) 12(0.000619) 11(0.000346) 7(0.000258) 1(0.000218) 5(0.000121) 10(0.000054)
56579501,6,0.423283,6(0.423283) 7(0.297094) 11(0.134294) 1(0.119606) 2(0.020959) 13(0.002531) 10(0.000641) 5(0.000638) 4(0.000220) 9(0.000218) 12(0.000204) 0(0.000130) 3(0.000096) 8(0.000085)
56601592,9,0.291222,9(0.291222) 7(0.206126) 6(0.195186) 13(0.127100) 2(0.117218) 12(0.057630) 1(0.001221) 10(0.000961) 8(0.000952) 11(0.000752) 5(0.000624) 3(0.000371) 4(0.000356) 0(0.000281)
56601729,7,0.649528,7(0.649528) 12(0.170343) 6(0.095143) 13(0.083773) 1(0.000362) 4(0.000277) 9(0.000165) 0(0.000153) 8(0.000109) 11(0.000094) 10(0.000047) 2(0.000005) 3(0.000001) 5(0.000000)
56611057,7,0.507950,7(0.507950) 6(0.341648) 4(0.116184) 2(0.022675) 11(0.006579) 13(0.001211) 3(0.001031) 1(0.000969) 8(0.000565) 12(0.000536) 0(0.000329) 10(0.000183) 9(0.000101) 5(0.000038)
56612756,6,0.593144,6(0.593144) 1(0.286840) 9(0.069362) 7(0.038338) 11(0.003871) 10(0.003226) 2(0.001696) 8(0.001321) 4(0.001109) 12(0.000566) 3(0.000273) 0(0.000162) 5(0.000079) 13(0.000011)
56613622,5,0.456841,5(0.456841) 1(0.322140) 7(0.144805) 8(0.045855) 11(0.023789) 9(0.002483) 10(0.001556) 4(0.000873) 12(0.000554) 6(0.000479) 3(0.000203) 0(0.000200) 13(0.000168) 2(0.000053)
56622860,6,0.694755,6(0.694755) 11(0.247028) 5(0.050459) 7(0.006082) 12(0.000318) 13(0.000301) 4(0.000275) 1(0.000266) 2(0.000186) 3(0.000108) 0(0.000096) 10(0.000087) 8(0.000028) 9(0.000010)
56638991,6,0.666954,6(0.666954) 11(0.297383) 9(0.031023) 13(0.001590) 2(0.000765) 10(0.000498) 1(0.000401) 0(0.000303) 5(0.000292) 12(0.000265) 3(0.000164) 4(0.000158) 7(0.000132) 8(0.000070)
56657106,11,0.456440,11(0.456440) 4(0.217336) 5(0.133267) 13(0.088379) 7(0.053756) 2(0.047283) 12(0.002202) 0(0.000488) 1(0.000308) 3(0.000231) 8(0.000113) 6(0.000089) 10(0.000073) 9(0.000032)
56657168,11,0.432836,11(0.432836) 3(0.320040) 8(0.100848) 7(0.087313) 13(0.048538) 0(0.003233) 5(0.002840) 4(0.001260) 9(0.001259) 2(0.000493) 1(0.000414) 12(0.000395) 6(0.000318) 10(0.000213)
56677669,13,0.594428,13(0.594428) 11(0.392228) 2(0.005723) 10(0.005711) 3(0.000545) 7(0.000457) 4(0.000210) 9(0.000195) 5(0.000194) 0(0.000187) 12(0.000092) 8(0.000027) 1(0.000003) 6(0.000000)
56686026,9,0.832850,9(0.832850) 4(0.117174) 0(0.045412) 2(0.001943) 3(0.000557) 12(0.000545) 6(0.000376) 5(0.000330) 7(0.000233) 13(0.000182) 11(0.000140) 10(0.000125) 8(0.000107) 1(0.000028)
56689905,6,0.502126,6(0.502126) 7(0.188553) 13(0.174352) 2(0.123952) 4(0.002825) 0(0.002072) 3(0.002003) 12(0.001273) 11(0.000932) 1(0.000731) 9(0.000594) 8(0.000301) 5(0.000148) 10(0.000138)
56691371,13,0.330911,13(0.330911) 2(0.259913) 6(0.256264) 9(0.089495) 0(0.055319) 3(0.004787) 1(0.000886) 4(0.000750) 12(0.000731) 8(0.000377) 7(0.000253) 10(0.000141) 5(0.000130) 11(0.000044)
56717392,6,0.358191,6(0.358191) 7(0.174217) 1(0.162276) 11(0.156678) 12(0.100081) 5(0.036083) 2(0.008521) 13(0.001297) 0(0.000652) 3(0.000620) 4(0.000590) 8(0.000450) 9(0.000209) 10(0.000135)
