Topics,Perplexity,Decrease
10,250.1143612023381,0
11,240.01871357504407,4.036412614918512
12,236.99258293594363,1.2607894584662442
13,230.51908900144858,2.73151752443019
14,222.06673088889528,3.6666629862050963
15,216.44682456466043,2.5307286245622294
16,213.53369463538445,1.345887118064754
17,208.38615294378596,2.410646104535437
18,203.90742239565864,2.1492457559478506
19,200.31769627908596,1.7604685863799658
20,197.04134524545057,1.635577432495393
21,191.64709253765142,2.7376247868586354
22,190.90447132010306,0.38749412146832557
23,185.37773888892644,2.8950251363728134
24,181.4151949525011,2.137551121388738
25,180.49828600237038,0.5054201498230628
26,176.7845371996973,2.0574980986934746
27,174.00710860600708,1.5710811803369493
28,172.2677018291515,0.9996182286977789
29,166.21188888446665,3.515350167433457
30,165.36162037322308,0.5115569752261157
31,163.728774439247,0.9874394858315572
32,159.40226935695597,2.6424830315311554
33,155.06142270331918,2.7232025435699128
34,155.43391338115896,-0.24022137250247522
35,154.157256585781,0.8213502237747241
