Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,1,0.763210,1(0.763210) 10(0.191691) 7(0.022814) 0(0.015960) 2(0.003412) 5(0.001183) 4(0.000462) 3(0.000374) 6(0.000347) 9(0.000223) 11(0.000195) 8(0.000131)
56487777,1,0.630274,1(0.630274) 7(0.365009) 8(0.001688) 11(0.000648) 4(0.000539) 6(0.000436) 9(0.000420) 3(0.000361) 5(0.000248) 10(0.000151) 2(0.000127) 0(0.000100)
56496643,9,0.680844,9(0.680844) 8(0.157231) 5(0.061132) 4(0.053027) 6(0.045507) 3(0.001112) 11(0.000455) 2(0.000230) 1(0.000205) 10(0.000128) 7(0.000098) 0(0.000031)
56498019,9,0.498318,9(0.498318) 3(0.316833) 10(0.104338) 0(0.067139) 1(0.007833) 8(0.003288) 2(0.000511) 6(0.000481) 11(0.000440) 5(0.000364) 7(0.000280) 4(0.000176)
56500147,8,0.379540,8(0.379540) 3(0.324568) 9(0.283667) 7(0.011453) 4(0.000270) 11(0.000149) 6(0.000116) 0(0.000084) 5(0.000079) 1(0.000043) 2(0.000020) 10(0.000009)
56501154,9,0.686500,9(0.686500) 3(0.225957) 4(0.041543) 10(0.040779) 1(0.002752) 8(0.001073) 7(0.000321) 5(0.000313) 11(0.000270) 6(0.000209) 2(0.000143) 0(0.000141)
56503347,9,0.773310,9(0.773310) 5(0.199121) 8(0.011995) 0(0.004715) 10(0.003701) 6(0.002206) 2(0.001458) 4(0.001422) 7(0.001022) 3(0.000447) 11(0.000353) 1(0.000249)
56505189,1,0.574388,1(0.574388) 0(0.188837) 5(0.144993) 4(0.085144) 10(0.001800) 3(0.001513) 2(0.001340) 6(0.000575) 8(0.000528) 11(0.000515) 7(0.000229) 9(0.000138)
56505224,1,0.520260,1(0.520260) 6(0.316571) 3(0.148807) 0(0.011489) 2(0.000789) 10(0.000650) 5(0.000571) 8(0.000527) 4(0.000188) 11(0.000092) 9(0.000028) 7(0.000027)
56507204,8,0.549167,8(0.549167) 4(0.443924) 9(0.002637) 11(0.001848) 3(0.001301) 10(0.000327) 5(0.000222) 7(0.000214) 0(0.000206) 6(0.000102) 1(0.000039) 2(0.000011)
56508182,1,0.650403,1(0.650403) 11(0.175984) 10(0.168187) 8(0.002288) 4(0.000751) 9(0.000623) 7(0.000531) 0(0.000310) 2(0.000263) 6(0.000251) 5(0.000247) 3(0.000163)
56513863,9,0.494279,9(0.494279) 1(0.297863) 11(0.199784) 3(0.004139) 8(0.000974) 4(0.000792) 5(0.000519) 7(0.000514) 10(0.000426) 2(0.000394) 0(0.000171) 6(0.000145)
56513996,1,0.524719,1(0.524719) 3(0.461939) 9(0.003743) 4(0.003690) 11(0.001805) 8(0.001140) 7(0.001119) 6(0.000700) 10(0.000652) 0(0.000473) 5(0.000018) 2(0.000000)
56522258,1,0.661583,1(0.661583) 10(0.308619) 0(0.023875) 2(0.002452) 5(0.001150) 3(0.000822) 6(0.000369) 8(0.000359) 9(0.000317) 7(0.000254) 4(0.000137) 11(0.000062)
56522391,1,0.468161,1(0.468161) 6(0.341526) 3(0.178002) 0(0.010015) 8(0.000829) 2(0.000735) 5(0.000346) 10(0.000200) 4(0.000098) 9(0.000044) 11(0.000038) 7(0.000006)
56529189,8,0.363478,8(0.363478) 7(0.285101) 1(0.166206) 0(0.096005) 11(0.059994) 3(0.027399) 5(0.000752) 2(0.000602) 10(0.000213) 9(0.000092) 4(0.000090) 6(0.000070)
56533059,4,0.537506,4(0.537506) 9(0.231155) 8(0.203638) 7(0.015985) 3(0.005048) 11(0.002525) 1(0.001232) 0(0.000994) 6(0.000932) 5(0.000612) 10(0.000205) 2(0.000168)
56533511,11,0.898540,11(0.898540) 8(0.090661) 9(0.007691) 2(0.000686) 4(0.000625) 6(0.000505) 3(0.000496) 7(0.000363) 10(0.000204) 0(0.000115) 1(0.000059) 5(0.000055)
56540726,8,0.386241,8(0.386241) 4(0.376684) 3(0.209943) 1(0.010476) 7(0.005025) 11(0.003224) 0(0.003130) 9(0.001632) 2(0.001482) 6(0.001006) 5(0.000695) 10(0.000463)
