Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,5,0.840754,5(0.840754) 0(0.116861) 8(0.029360) 3(0.005357) 9(0.002693) 1(0.001957) 6(0.001822) 10(0.000463) 7(0.000279) 4(0.000244) 2(0.000209)
56487777,5,0.624182,5(0.624182) 3(0.129196) 0(0.125609) 7(0.117743) 2(0.000842) 6(0.000797) 4(0.000534) 1(0.000459) 10(0.000291) 9(0.000262) 8(0.000084)
56496643,10,0.346231,10(0.346231) 4(0.268991) 2(0.262838) 1(0.099231) 0(0.020604) 6(0.000939) 9(0.000486) 7(0.000291) 5(0.000192) 8(0.000111) 3(0.000088)
56498019,10,0.558224,10(0.558224) 0(0.226586) 3(0.155986) 9(0.056936) 2(0.000841) 6(0.000331) 8(0.000286) 7(0.000284) 4(0.000230) 5(0.000171) 1(0.000124)
56500147,10,0.950320,10(0.950320) 6(0.046772) 2(0.000991) 7(0.000750) 4(0.000491) 3(0.000361) 1(0.000131) 0(0.000080) 9(0.000075) 5(0.000018) 8(0.000012)
56505189,9,0.431855,9(0.431855) 5(0.310290) 0(0.179502) 1(0.076049) 8(0.001258) 7(0.000276) 10(0.000250) 3(0.000200) 6(0.000143) 4(0.000128) 2(0.000048)
56507204,4,0.522526,4(0.522526) 10(0.471026) 2(0.002365) 3(0.001713) 7(0.001263) 0(0.000377) 6(0.000320) 9(0.000180) 1(0.000116) 5(0.000097) 8(0.000016)
56513863,0,0.350027,0(0.350027) 7(0.299949) 10(0.213385) 4(0.131374) 2(0.001830) 1(0.001344) 9(0.000723) 6(0.000515) 5(0.000458) 8(0.000244) 3(0.000153)
56522258,5,0.402154,5(0.402154) 0(0.362294) 8(0.224466) 9(0.008410) 10(0.001006) 1(0.000519) 6(0.000454) 3(0.000262) 2(0.000242) 7(0.000126) 4(0.000067)
56529189,10,0.421800,10(0.421800) 6(0.358662) 5(0.170416) 9(0.037319) 7(0.010178) 2(0.000614) 8(0.000355) 4(0.000230) 3(0.000182) 0(0.000139) 1(0.000105)
56533059,2,0.684361,2(0.684361) 3(0.176758) 10(0.128230) 7(0.004325) 4(0.002013) 6(0.000986) 5(0.000898) 0(0.000686) 1(0.000621) 8(0.000563) 9(0.000560)
56533511,7,0.669709,7(0.669709) 4(0.217012) 2(0.090365) 8(0.017171) 10(0.004201) 3(0.000588) 5(0.000342) 0(0.000221) 6(0.000168) 1(0.000124) 9(0.000100)
56545572,4,0.806958,4(0.806958) 2(0.088607) 8(0.069143) 10(0.034069) 3(0.000382) 7(0.000266) 6(0.000157) 1(0.000152) 0(0.000142) 5(0.000076) 9(0.000049)
56548040,5,0.508633,5(0.508633) 0(0.278973) 9(0.132806) 10(0.072604) 3(0.003114) 6(0.001039) 1(0.000747) 4(0.000552) 2(0.000551) 8(0.000519) 7(0.000462)
