Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,9,0.771085,9(0.771085) 1(0.220747) 11(0.002241) 10(0.001583) 3(0.001432) 5(0.000927) 2(0.000803) 7(0.000536) 8(0.000255) 6(0.000227) 4(0.000096) 0(0.000068)
56487777,9,0.435886,9(0.435886) 6(0.386382) 8(0.172110) 7(0.002062) 0(0.000936) 4(0.000883) 3(0.000572) 2(0.000339) 5(0.000331) 1(0.000312) 11(0.000113) 10(0.000074)
56496643,4,0.720997,4(0.720997) 2(0.164861) 5(0.082947) 3(0.028081) 0(0.001430) 9(0.000445) 6(0.000363) 8(0.000271) 7(0.000258) 10(0.000161) 11(0.000100) 1(0.000087)
56498019,4,0.492663,4(0.492663) 3(0.276069) 9(0.192161) 6(0.032269) 10(0.004432) 1(0.000723) 5(0.000669) 11(0.000338) 2(0.000308) 8(0.000134) 0(0.000128) 7(0.000106)
56500147,4,0.997351,4(0.997351) 8(0.000724) 10(0.000450) 7(0.000377) 0(0.000333) 6(0.000263) 1(0.000157) 2(0.000152) 5(0.000077) 3(0.000055) 9(0.000037) 11(0.000025)
56505189,1,0.433597,1(0.433597) 2(0.144277) 3(0.140870) 7(0.111545) 9(0.083076) 6(0.075459) 10(0.007292) 5(0.002534) 11(0.000878) 8(0.000290) 4(0.000117) 0(0.000065)
56507204,4,0.635762,4(0.635762) 5(0.359149) 0(0.001712) 7(0.001531) 9(0.000404) 1(0.000342) 10(0.000307) 2(0.000213) 11(0.000174) 8(0.000167) 3(0.000157) 6(0.000083)
56513863,4,0.410241,4(0.410241) 3(0.360290) 6(0.180851) 0(0.036775) 10(0.002952) 5(0.002195) 2(0.002047) 7(0.001535) 8(0.001286) 9(0.001078) 1(0.000524) 11(0.000226)
56522258,3,0.328546,3(0.328546) 9(0.290363) 10(0.199467) 6(0.131430) 1(0.045354) 2(0.001885) 11(0.001450) 8(0.000570) 5(0.000503) 7(0.000208) 4(0.000162) 0(0.000063)
56529189,4,0.308078,4(0.308078) 10(0.294949) 8(0.280939) 9(0.109207) 6(0.003931) 11(0.001108) 1(0.000663) 7(0.000389) 0(0.000334) 3(0.000184) 2(0.000121) 5(0.000098)
56533059,7,0.611634,7(0.611634) 4(0.237996) 1(0.141405) 9(0.001761) 0(0.001715) 10(0.001456) 8(0.001302) 3(0.000786) 6(0.000739) 5(0.000644) 11(0.000313) 2(0.000249)
56533511,0,0.593954,0(0.593954) 7(0.398049) 10(0.002186) 4(0.001826) 11(0.000827) 3(0.000740) 1(0.000634) 5(0.000512) 8(0.000405) 9(0.000373) 6(0.000304) 2(0.000190)
56545572,5,0.642695,5(0.642695) 0(0.205716) 4(0.148438) 7(0.001721) 10(0.000515) 3(0.000213) 8(0.000152) 1(0.000141) 11(0.000124) 9(0.000122) 2(0.000096) 6(0.000067)
56548040,6,0.286875,6(0.286875) 7(0.209306) 3(0.184868) 9(0.180492) 1(0.132668) 4(0.001834) 11(0.001350) 8(0.001100) 10(0.000579) 5(0.000505) 2(0.000242) 0(0.000181)
56551108,11,0.627373,11(0.627373) 6(0.294759) 2(0.048714) 5(0.022394) 7(0.002135) 1(0.001614) 4(0.001355) 9(0.000428) 0(0.000379) 10(0.000344) 8(0.000312) 3(0.000191)
56551131,4,0.523246,4(0.523246) 3(0.267426) 8(0.140931) 9(0.052492) 7(0.009737) 1(0.001103) 0(0.001064) 10(0.001050) 2(0.000853) 5(0.000818) 11(0.000756) 6(0.000525)
56552993,3,0.498664,3(0.498664) 0(0.473682) 4(0.024682) 2(0.000782) 8(0.000671) 10(0.000542) 7(0.000291) 9(0.000159) 5(0.000147) 6(0.000142) 11(0.000125) 1(0.000113)
56555709,4,0.546299,4(0.546299) 9(0.250922) 3(0.201546) 2(0.000262) 0(0.000191) 8(0.000155) 7(0.000147) 5(0.000145) 6(0.000116) 1(0.000100) 10(0.000081) 11(0.000035)
