Post_ID,Dominant_Topic,Topic_Proportion,Topics
56717392,3,0.498992,3(0.498992) 4(0.370593) 2(0.121848) 6(0.003923) 7(0.001303) 9(0.000987) 0(0.000818) 8(0.000718) 1(0.000544) 5(0.000274)
56718927,0,0.487977,0(0.487977) 4(0.331538) 9(0.174484) 1(0.003271) 3(0.001105) 2(0.000388) 5(0.000361) 6(0.000356) 8(0.000355) 7(0.000164)
56720441,8,0.498588,8(0.498588) 3(0.175666) 0(0.167241) 4(0.133811) 7(0.012576) 6(0.008715) 5(0.002492) 9(0.000473) 1(0.000324) 2(0.000114)
56724566,6,0.686699,6(0.686699) 2(0.304778) 8(0.002939) 7(0.002288) 1(0.001848) 3(0.000632) 0(0.000433) 5(0.000153) 4(0.000151) 9(0.000080)
56727451,2,0.384181,2(0.384181) 5(0.264592) 0(0.228948) 6(0.078693) 1(0.040933) 4(0.001347) 7(0.000650) 9(0.000341) 8(0.000196) 3(0.000119)
56731802,6,0.628534,6(0.628534) 2(0.368487) 1(0.001471) 7(0.000346) 5(0.000266) 8(0.000265) 9(0.000244) 0(0.000158) 3(0.000154) 4(0.000075)
56735382,4,0.437908,4(0.437908) 1(0.243739) 5(0.203349) 6(0.055090) 0(0.048570) 2(0.010290) 7(0.000531) 8(0.000223) 3(0.000173) 9(0.000126)
56752840,4,0.518715,4(0.518715) 8(0.472138) 0(0.004726) 1(0.001554) 5(0.001127) 3(0.000587) 9(0.000527) 6(0.000347) 7(0.000159) 2(0.000121)
56758110,0,0.457001,0(0.457001) 9(0.259940) 2(0.114308) 6(0.085161) 5(0.039893) 7(0.026227) 4(0.016486) 1(0.000401) 8(0.000307) 3(0.000276)
56762294,1,0.549533,1(0.549533) 0(0.253085) 6(0.073893) 5(0.065426) 9(0.044875) 4(0.011248) 7(0.001164) 8(0.000334) 2(0.000296) 3(0.000146)
56765437,1,0.916784,1(0.916784) 8(0.082086) 5(0.000499) 0(0.000144) 9(0.000131) 4(0.000100) 3(0.000079) 6(0.000061) 2(0.000058) 7(0.000057)
