Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,7,0.704901,7(0.704901) 15(0.285844) 14(0.002453) 2(0.001678) 6(0.001041) 4(0.000834) 5(0.000685) 12(0.000486) 9(0.000442) 8(0.000366) 10(0.000323) 13(0.000261) 1(0.000222) 11(0.000217) 3(0.000138) 0(0.000109)
56496643,13,0.515107,13(0.515107) 0(0.239532) 14(0.099207) 8(0.074607) 1(0.027290) 3(0.021570) 6(0.020536) 9(0.000691) 12(0.000624) 5(0.000246) 2(0.000174) 10(0.000138) 7(0.000130) 11(0.000059) 4(0.000054) 15(0.000033)
56505189,7,0.361025,7(0.361025) 6(0.192223) 5(0.186222) 9(0.132694) 14(0.117182) 2(0.007263) 10(0.000924) 12(0.000577) 4(0.000519) 11(0.000415) 1(0.000293) 3(0.000229) 8(0.000224) 0(0.000150) 13(0.000042) 15(0.000016)
56505224,7,0.791222,7(0.791222) 1(0.114524) 10(0.053795) 9(0.033336) 2(0.003789) 6(0.000894) 12(0.000726) 3(0.000467) 4(0.000409) 14(0.000369) 5(0.000267) 11(0.000093) 8(0.000037) 15(0.000032) 13(0.000026) 0(0.000015)
56522258,7,0.491565,7(0.491565) 2(0.260230) 9(0.240380) 4(0.001569) 1(0.001560) 3(0.000933) 6(0.000822) 14(0.000626) 11(0.000499) 8(0.000432) 5(0.000395) 15(0.000340) 12(0.000203) 10(0.000195) 13(0.000146) 0(0.000105)
56522391,7,0.793929,7(0.793929) 1(0.155483) 10(0.049032) 2(0.000364) 3(0.000248) 4(0.000204) 6(0.000202) 5(0.000171) 14(0.000127) 12(0.000071) 11(0.000044) 13(0.000039) 9(0.000031) 8(0.000026) 0(0.000018) 15(0.000010)
56529189,11,0.322459,11(0.322459) 1(0.286244) 7(0.096063) 4(0.087384) 6(0.086915) 8(0.086240) 10(0.029354) 5(0.002548) 2(0.000727) 0(0.000535) 13(0.000513) 15(0.000491) 9(0.000225) 14(0.000124) 3(0.000100) 12(0.000079)
56548040,9,0.433186,9(0.433186) 7(0.399015) 5(0.087767) 4(0.073738) 11(0.001853) 10(0.000733) 12(0.000709) 1(0.000597) 0(0.000379) 14(0.000374) 13(0.000353) 6(0.000336) 3(0.000320) 8(0.000258) 2(0.000214) 15(0.000168)
56548508,9,0.444282,9(0.444282) 2(0.356388) 4(0.188779) 6(0.003634) 10(0.001717) 12(0.001528) 5(0.000968) 14(0.000585) 1(0.000561) 11(0.000538) 3(0.000506) 7(0.000177) 8(0.000169) 0(0.000113) 13(0.000054) 15(0.000002)
56551108,3,0.717922,3(0.717922) 7(0.262386) 4(0.008141) 6(0.003907) 14(0.002252) 2(0.001384) 1(0.001105) 5(0.001048) 13(0.000462) 11(0.000318) 0(0.000316) 8(0.000263) 10(0.000203) 12(0.000136) 9(0.000092) 15(0.000063)
56551131,1,0.474184,1(0.474184) 8(0.337550) 9(0.125001) 7(0.052018) 6(0.002979) 14(0.002671) 0(0.001410) 12(0.001256) 13(0.000838) 11(0.000619) 2(0.000517) 5(0.000448) 4(0.000175) 3(0.000127) 10(0.000106) 15(0.000099)
56551175,7,0.714698,7(0.714698) 1(0.174826) 10(0.062317) 3(0.046002) 6(0.000493) 4(0.000308) 14(0.000284) 2(0.000270) 5(0.000196) 12(0.000187) 9(0.000106) 0(0.000100) 15(0.000081) 13(0.000053) 8(0.000040) 11(0.000038)
56551323,5,0.390177,5(0.390177) 1(0.383981) 6(0.148701) 8(0.071549) 4(0.002205) 10(0.001419) 2(0.000664) 9(0.000260) 13(0.000249) 14(0.000237) 3(0.000149) 12(0.000129) 0(0.000127) 11(0.000077) 7(0.000073) 15(0.000002)
56552993,9,0.493554,9(0.493554) 0(0.412365) 15(0.045625) 1(0.030957) 6(0.014870) 10(0.000688) 12(0.000586) 13(0.000564) 14(0.000177) 8(0.000149) 11(0.000139) 4(0.000107) 7(0.000101) 5(0.000050) 2(0.000047) 3(0.000021)
56570134,5,0.491814,5(0.491814) 6(0.369105) 12(0.071309) 14(0.063940) 13(0.000625) 8(0.000550) 3(0.000531) 0(0.000326) 1(0.000322) 15(0.000311) 4(0.000262) 11(0.000208) 2(0.000194) 10(0.000186) 9(0.000159) 7(0.000157)
56571316,4,0.305317,4(0.305317) 9(0.280120) 5(0.119725) 6(0.106687) 12(0.088147) 2(0.047039) 13(0.037019) 7(0.007691) 14(0.006451) 1(0.000722) 0(0.000319) 10(0.000256) 3(0.000205) 15(0.000138) 8(0.000082) 11(0.000081)
