Topics,Perplexity,Decrease
10,179.45899644010439,0
11,173.50760354485672,3.3162967660046965
12,168.9955487372022,2.6004939930416513
13,165.57341664860266,2.0249835656447686
14,160.86965384580395,2.8408925164487773
15,156.52432807581178,2.70114696346474
16,154.3897119158876,1.3637599893674595
17,149.72747084972968,3.019787399239357
18,147.49504881142013,1.4909902809685915
19,145.40065958425214,1.4199725645338621
20,142.67970381988553,1.8713503584830402
21,139.34645450451637,2.3361762227772425
22,137.57256692058056,1.2730051799619513
23,133.55052612970255,2.9235776295428857
24,132.6659365660423,0.6623632188473405
25,131.3762081275067,0.9721624645476091
26,126.22379726781158,3.9218751500990625
27,126.95123274370764,-0.5763061258192415
28,127.21055438011327,-0.20426870287203547
29,121.79545015620337,4.25680420174038
30,119.32615180816163,2.0274142793305145
31,119.05321173597558,0.228734496210727
32,118.20996305320251,0.7082956188054288
33,118.88708805293012,-0.5728155074567258
34,118.96604332934983,-0.06641198612296191
35,111.73167230828592,6.0810386044663325
