Topics,Perplexity,Decrease
10,223.9568354362896,0
11,219.46572195215919,2.0053478052506346
12,210.879449513851,3.9123523992415943
13,206.48132554604345,2.085610512521123
14,201.93568561153222,2.2014775052853834
15,194.64657714822854,3.609618795820904
16,192.3715665273541,1.1687904581758757
17,191.27937991815617,0.5677484614352484
18,184.72319792704354,3.4275424742164344
19,181.52171741486194,1.7331231529707651
20,176.16759452402408,2.949577035237709
21,175.28385359148845,0.5016478399011767
22,172.1486455999121,1.7886462029087846
23,168.72336400483175,1.9897232320032254
24,164.39598196613534,2.5647793737519895
25,163.9421002854703,0.2760904951792141
26,161.2538521532264,1.6397546009004929
27,158.36997222590236,1.7884099442063124
28,157.26226076118417,0.6994453867417046
29,154.22044472881288,1.9342314027842558
30,150.11687553659866,2.660846426315328
31,150.30893856563011,-0.1279423304974356
32,144.45376356180608,3.895427018312325
33,144.9541000288513,-0.34636443849462406
34,140.53245105414794,3.0503786880283283
35,138.88742590224237,1.1705660433345275
